,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
0,0,0,0,0,0,0,0,0,19556,52.000,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44.0
1,1,1,1,1,1,1,1,1,90035,36.000,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0.0
2,2,2,2,2,2,2,2,2,12360,20.000,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,0.0
3,3,3,3,3,3,3,3,3,77959,44.000,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,6.0
4,4,4,4,4,4,4,4,4,36875,49.000,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20.0
5,5,5,5,5,5,5,5,5,39177,16.000,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0.0
6,6,6,6,6,6,6,6,6,79433,77.000,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0.0
7,7,7,7,7,7,7,7,7,97286,43.000,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65.0
8,8,8,8,8,8,8,8,8,27508,47.000,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0.0
9,9,9,9,9,9,9,9,9,62482,46.000,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14.0
10,10,10,10,10,10,10,10,10,47583,47.000,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19.0
11,11,11,11,11,11,11,11,11,115550,33.000,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7.0
12,12,12,12,12,12,12,12,12,119987,46.000,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0.0
13,13,13,13,13,13,13,13,13,42141,60.000,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113.0
14,14,14,14,14,14,14,14,14,2274,52.000,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0.0
15,15,15,15,15,15,15,15,15,22470,50.000,83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,2.0
16,16,16,16,16,16,16,16,16,124915,31.000,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0.0
17,17,17,17,17,17,17,17,17,17836,52.000,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0.0
18,18,18,18,18,18,18,18,18,76872,43.000,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0.0
19,19,19,19,19,19,19,19,19,64287,50.000,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0.0
20,20,20,20,20,20,20,20,20,63995,60.000,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49.0
